Condition,BL#,Repeat,BATCH,Day 1,Day 2 ,Day 3,Day 4 ,Day 5,FbID
CG11062,BL# 42493,1,0,82,45,37,19,21,FBgn0024913
CG1107,BL# 35310,1,0,0,8,2,1,1,FBgn0037218
CG1133,BL# 34706,1,0,191,64,42,38,16,FBgn0003002
CG12227,,1,0,67,70,51,34,6,FBgn0034863
CG1475,,1,0,0,0,0,0,0,FBgn0037351
CG17291,BL# 43283,1,0,71,45,43,42,39,FBgn0260439
CG2855,BL# 38249,1,0,38,33,50,26,5,FBgn0031458
CG2863,,1,0,0,0,0,0,0,FBgn0021874
CG3497,BL# 28900,1,0,48,22,27,9,19,FBgn0004837
CG3619,BL# 36784,1,0,121,88,67,37,31,FBgn0000463
CG3779,BL# 35045,1,0,106,25,17,15,13,FBgn0002973
CG4114,BL# 34968,1,0,75,38,18,6,3,FBgn0004583
CG4220,BL# 41960,1,0,134,55,34,47,45,FBgn0004858
CG42281,BL# 28322,1,0,66,48,17,27,25,FBgn0259176
CG5083,BL# 36697,1,0,85,45,32,27,28,FBgn0038390
CG6099,BL# 29378,1,0,84,51,15,34,27,FBgn0002629
CG6127,BL# 34700,1,0,89,43,19,35,17,FBgn0004197
CG7109,BL# 27723,1,0,0,0,0,0,0,FBgn0004177
CG7147,,1,0,51,43,34,29,10,FBgn0259984
CG7734,BL# 34689,1,0,82,43,25,28,28,FBgn0003396
CG8328,BL# 26203,1,0,69,44,14,20,11,FBgn0002734
CG8704,BL# 51440,1,0,86,41,28,4,14,FBgn0010109
CG9224,,1,0,59,61,27,37,17,FBgn0003463
OR,,1,0,0,58,25,38,20,Control
OR,,2,0,72,58,36,24,23,Control
OR,,3,0,28,51,28,26,24,Control
OR,,4,0,53,40,30,30,21,Control
OR,,5,0,35,46,3,51,4,Control
Tj>,,1,0,90,63,31,13,19,Control
Tj>,,2,0,85,56,31,24,15,Control
Tj>,,3,0,62,41,17,30,20,Control
Tj>,,4,0,63,62,22,31,14,Control
Tj>,,5,0,46,44,23,9,10,Control
Tj>Bab2RNAi,BL# 35720,1,0,121,79,36,25,31,Control
Tj>Hpo,,1,0,0,0,0,0,0,Control
Tj>HpoRNAi,BL# 33614,1,0,95,33,19,72,22,Control
CG10079,BL# 31183,1,1,122,55,21,11,3,FBgn0003731
CG12306,BL# 33042,1,1,0,0,0,0,0,FBgn0003124
CG1775,BL# 31928,1,1,86,78,41,40,19,FBgn0011655
CG18290,BL# 42652,1,1,152,57,53,34,26,FBgn0000046
CG2671,BL# 31517,1,1,174,49,31,30,20,FBgn0002121
