Condition,BL#,Repeat,BATCH,Day 1,Day 2 ,Day 3,Day 4 ,Day 5,FbID
CG10498,BL# 28952,1,1,83,55,4,35,24,FBgn0004107
CG10861,BL# 27552,1,1,81,70,41,42,33,FBgn0036255
CG1775,BL# 31928,1,1,151,73,55,43,34,FBgn0011655
CG18290,BL# 42652,1,1,110,70,39,36,38,FBgn0000046
CG18402,BL# 31037,1,1,75,42,28,26,34,FBgn0283499
CG2671,BL# 31517,1,1,135,56,32,33,29,FBgn0002121
CG2699,BL# 38991,1,1,65,65,27,36,28,FBgn0020622
CG3497,BL# 28900,1,1,79,34,14,11,15,FBgn0004837
CG4141,BL# 27690,1,1,82,61,19,19,19,FBgn0015279
CG42611,BL# 29324,1,1,50,65,40,35,31,FBgn0261260
CG4276,BL# 50730,1,1,80,75,28,36,34,FBgn0029095
CG5072,BL# 27714,1,1,83,79,30,31,33,FBgn0016131
CG5562,BL# 34898,1,1,85,36,33,24,24,FBgn0024234
CG7926,BL# 31705,1,1,64,62,62,52,36,FBgn0026597
OR,,1,1,57,59,21,19,19,
OR,,2,1,66,33,19,25,12,
OR,,3,1,79,51,23,20,14,
OR,,4,1,117,68,35,33,23,
OR,,5,1,37,57,20,22,17,
Tj>HpoRNAi,,1,1,32,127,23,46,28,
Tj>HpoRNAi,,2,1,0,110,20,60,33,
Tj>HpoRNAi,,3,1,7,117,4,41,26,
Tj>HpoRNAi,,4,1,1,94,5,45,37,
Tj>HpoRNAi,,5,1,0,164,33,43,45,
"Tj>HpoRNAi,Bab1RNAi",,1,1,98,71,46,30,30,
"Tj>HpoRNAi,Hpo",,1,1,0,0,0,0,0,
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,1,100,93,15,65,50,
"Tj>HpoRNAi,Yki",,1,1,0,0,0,0,0,
"Tj>HpoRNAi,YkiRNAi",,1,1,0,0,0,0,0,
CG10079,BL# 31183,1,2,75,37,22,15,5,FBgn0003731
CG12306,BL# 33042,1,2,0,0,0,0,0,FBgn0003124
CG2863,,1,2,0,0,0,0,0,FBgn0021874
CG6054,BL# 28559,1,2,172,86,36,19,22,FBgn0005355
CG6975,BL# 31770,1,2,77,43,5,30,10,FBgn0005198
OR,,1,2,15,38,3,28,21,
OR,,2,2,52,45,13,17,23,
OR,,3,2,36,39,21,25,28,
OR,,4,2,26,30,18,20,24,
OR,,5,2,52,23,40,14,30,
Tj>HpoRNAi,,1,2,90,46,26,36,16,
