Gene,Batch,FbID,Condition,Count,Z
CG10498,1,FBgn0004107,Day 1,83,5.462677805469223
CG10498,1,FBgn0004107,Day 2 ,55,-2.574657894082222
CG10498,1,FBgn0004107,Day 3,4,-1.0492746059526403
CG10498,1,FBgn0004107,Day 4 ,35,-1.5964562525705743
CG10498,1,FBgn0004107,Day 5,24,-1.2901439469349238
CG10498,1,FBgn0004107,Sum,201,-0.638332353938703
CG10861,1,FBgn0036255,Day 1,81,5.317006397323377
CG10861,1,FBgn0036255,Day 2 ,70,-2.001662813796861
CG10861,1,FBgn0036255,Day 3,41,1.9371223494510281
CG10861,1,FBgn0036255,Day 4 ,42,-0.6651901052377394
CG10861,1,FBgn0036255,Day 5,33,-0.10531787321917713
CG10861,1,FBgn0036255,Sum,267,0.9105623284125623
CG1775,1,FBgn0011655,Day 1,151,10.415505682427986
CG1775,1,FBgn0011655,Day 2 ,73,-1.8870637977397888
CG1775,1,FBgn0011655,Day 3,55,3.0671103866307945
CG1775,1,FBgn0011655,Day 4 ,43,-0.5321520841901914
CG1775,1,FBgn0011655,Day 5,34,0.026329468304794747
CG1775,1,FBgn0011655,Sum,356,2.999223339461996
CG18290,1,FBgn0000046,Day 1,110,7.429241815438143
CG18290,1,FBgn0000046,Day 2 ,70,-2.001662813796861
CG18290,1,FBgn0000046,Day 3,39,1.7756954869967758
CG18290,1,FBgn0000046,Day 4 ,36,-1.4634182315230264
CG18290,1,FBgn0000046,Day 5,38,0.5529188344006822
CG18290,1,FBgn0000046,Sum,293,1.52073296085397
CG18402,1,FBgn0283499,Day 1,75,4.879992172885839
CG18402,1,FBgn0283499,Day 2 ,42,-3.071253630329535
CG18402,1,FBgn0283499,Day 3,28,0.8878477434983879
CG18402,1,FBgn0283499,Day 4 ,26,-2.793798441998505
CG18402,1,FBgn0283499,Day 5,34,0.026329468304794747
CG18402,1,FBgn0283499,Sum,205,-0.5444599489477172
CG2671,1,FBgn0002121,Day 1,135,9.250134417261217
CG2671,1,FBgn0002121,Day 2 ,56,-2.5364582220631977
CG2671,1,FBgn0002121,Day 3,32,1.2107014684068926
CG2671,1,FBgn0002121,Day 4 ,33,-1.8625322946656702
CG2671,1,FBgn0002121,Day 5,29,-0.6319072393150647
CG2671,1,FBgn0002121,Sum,285,1.3329881508719983
CG2699,1,FBgn0020622,Day 1,65,4.151635132156609
CG2699,1,FBgn0020622,Day 2 ,65,-2.1926611738919815
CG2699,1,FBgn0020622,Day 3,27,0.8071343122712618
CG2699,1,FBgn0020622,Day 4 ,36,-1.4634182315230264
CG2699,1,FBgn0020622,Day 5,28,-0.7635545808390365
CG2699,1,FBgn0020622,Sum,221,-0.16897032898377415
CG3497,1,FBgn0004837,Day 1,79,5.171334989177531
CG3497,1,FBgn0004837,Day 2 ,34,-3.3768510064817274
CG3497,1,FBgn0004837,Day 3,14,-0.24214029368137852
CG3497,1,FBgn0004837,Day 4 ,11,-4.789368757711723
CG3497,1,FBgn0004837,Day 5,15,-2.474970020650671
CG3497,1,FBgn0004837,Sum,153,-1.7648012138305325
CG4141,1,FBgn0015279,Day 1,82,5.3898421013963
CG4141,1,FBgn0015279,Day 2 ,61,-2.3454598619680778
CG4141,1,FBgn0015279,Day 3,19,0.16142686245425236
CG4141,1,FBgn0015279,Day 4 ,19,-3.7250645893313403
CG4141,1,FBgn0015279,Day 5,19,-1.9483806545547833
CG4141,1,FBgn0015279,Sum,200,-0.6618004551864495
CG42611,1,FBgn0261260,Day 1,50,3.059099571062765
CG42611,1,FBgn0261260,Day 2 ,65,-2.1926611738919815
CG42611,1,FBgn0261260,Day 3,40,1.856408918223902
CG42611,1,FBgn0261260,Day 4 ,35,-1.5964562525705743
CG42611,1,FBgn0261260,Day 5,31,-0.36861255626712086
CG42611,1,FBgn0261260,Sum,221,-0.16897032898377415
