Gene,Batch,FbID,Condition,Count,Z
CG11062,0,FBgn0024913,Day 1,82,0.7070852029878762
CG11062,0,FBgn0024913,Day 2 ,45,-0.8052383943562427
CG11062,0,FBgn0024913,Day 3,37,2.000268799141056
CG11062,0,FBgn0024913,Day 4 ,19,-0.24084443588356452
CG11062,0,FBgn0024913,Day 5,21,1.337518992468789
CG11062,0,FBgn0024913,Sum,204,0.5765957739761579
CG1107,0,FBgn0037218,Day 1,0,-3.822679378653207
CG1107,0,FBgn0037218,Day 2 ,8,-4.438631149378312
CG1107,0,FBgn0037218,Day 3,2,-3.7382072639685315
CG1107,0,FBgn0037218,Day 4 ,1,-2.0471777050102995
CG1107,0,FBgn0037218,Day 5,1,-3.6162550537119107
CG1107,0,FBgn0037218,Sum,12,-5.014635973671431
CG1133,0,FBgn0003002,Day 1,191,6.728357634681512
CG1133,0,FBgn0003002,Day 2 ,64,1.0605578852496849
CG1133,0,FBgn0003002,Day 3,42,2.8200510938709975
CG1133,0,FBgn0003002,Day 4 ,38,1.6658406815279891
CG1133,0,FBgn0003002,Day 5,16,0.09907548092361408
CG1133,0,FBgn0003002,Sum,351,4.857382580768843
CG12227,0,FBgn0034863,Day 1,67,-0.12153026926354142
CG12227,0,FBgn0034863,Day 2 ,70,1.6497567103883988
CG12227,0,FBgn0034863,Day 3,51,4.295659224384892
CG12227,0,FBgn0034863,Day 4 ,34,1.2644332883887146
CG12227,0,FBgn0034863,Day 5,6,-2.377811542166736
CG12227,0,FBgn0034863,Sum,228,1.2754997424321066
CG1475,0,FBgn0037351,Day 1,0,-3.822679378653207
CG1475,0,FBgn0037351,Day 2 ,0,-5.224229582896598
CG1475,0,FBgn0037351,Day 3,0,-4.066120181860509
CG1475,0,FBgn0037351,Day 4 ,0,-2.147529553295118
CG1475,0,FBgn0037351,Day 5,0,-3.8639437560209453
CG1475,0,FBgn0037351,Sum,0,-5.364087957899406
CG17291,0,FBgn0260439,Day 1,71,0.09943385667016996
CG17291,0,FBgn0260439,Day 2 ,45,-0.8052383943562427
CG17291,0,FBgn0260439,Day 3,43,2.9840075528169856
CG17291,0,FBgn0260439,Day 4 ,42,2.0672480746672637
CG17291,0,FBgn0260439,Day 5,39,5.795915634031418
CG17291,0,FBgn0260439,Sum,240,1.6249517266600808
CG2855,0,FBgn0031458,Day 1,38,-1.723520182282949
CG2855,0,FBgn0031458,Day 2 ,33,-1.9836360446336707
CG2855,0,FBgn0031458,Day 3,50,4.131702765438903
CG2855,0,FBgn0031458,Day 4 ,26,0.46161850211016575
CG2855,0,FBgn0031458,Day 5,5,-2.6255002444757705
CG2855,0,FBgn0031458,Sum,152,-0.9376961576783974
CG2863,0,FBgn0021874,Day 1,0,-3.822679378653207
CG2863,0,FBgn0021874,Day 2 ,0,-5.224229582896598
CG2863,0,FBgn0021874,Day 3,0,-4.066120181860509
CG2863,0,FBgn0021874,Day 4 ,0,-2.147529553295118
CG2863,0,FBgn0021874,Day 5,0,-3.8639437560209453
CG2863,0,FBgn0021874,Sum,0,-5.364087957899406
CG3497,0,FBgn0004837,Day 1,48,-1.1711098674486704
CG3497,0,FBgn0004837,Day 2 ,22,-3.063833890721313
CG3497,0,FBgn0004837,Day 3,27,0.360704209681174
CG3497,0,FBgn0004837,Day 4 ,9,-1.2443629187317506
CG3497,0,FBgn0004837,Day 5,19,0.842141587850719
CG3497,0,FBgn0004837,Sum,125,-1.7239631221913396
CG3619,0,FBgn0000463,Day 1,121,2.861485430841562
CG3619,0,FBgn0000463,Day 2 ,88,3.417353185804541
CG3619,0,FBgn0000463,Day 3,67,6.918962567520704
CG3619,0,FBgn0000463,Day 4 ,37,1.5654888332431705
CG3619,0,FBgn0000463,Day 5,31,3.814406015559139
CG3619,0,FBgn0000463,Sum,344,4.6535355899691915
CG3779,0,FBgn0002973,Day 1,106,2.0328699585901444
CG3779,0,FBgn0002973,Day 2 ,25,-2.769234478151956
CG3779,0,FBgn0002973,Day 3,17,-1.2788603797787084
CG3779,0,FBgn0002973,Day 4 ,15,-0.642251829022839
CG3779,0,FBgn0002973,Day 5,13,-0.6439906260034909
CG3779,0,FBgn0002973,Sum,176,-0.23879218922244877
CG4114,0,FBgn0004583,Day 1,75,0.32039798260388136
CG4114,0,FBgn0004583,Day 2 ,38,-1.4926370236847424
CG4114,0,FBgn0004583,Day 3,18,-1.11490392083272
CG4114,0,FBgn0004583,Day 4 ,6,-1.5454184635862065
CG4114,0,FBgn0004583,Day 5,3,-3.1208776490938406
CG4114,0,FBgn0004583,Sum,140,-1.2871481419063717
CG4220,0,FBgn0004858,Day 1,134,3.579618840126124
CG4220,0,FBgn0004858,Day 2 ,55,0.1767596475416139
CG4220,0,FBgn0004858,Day 3,34,1.5083994223030917
CG4220,0,FBgn0004858,Day 4 ,47,2.5690073160913567
CG4220,0,FBgn0004858,Day 5,45,7.282047847885628
CG4220,0,FBgn0004858,Sum,315,3.8090266280849203
CG42281,0,FBgn0259176,Day 1,66,-0.17677130074696926
CG42281,0,FBgn0259176,Day 2 ,48,-0.5106389817868857
CG42281,0,FBgn0259176,Day 3,17,-1.2788603797787084
CG42281,0,FBgn0259176,Day 4 ,27,0.5619703503949844
CG42281,0,FBgn0259176,Day 5,25,2.328273801704929
CG42281,0,FBgn0259176,Sum,183,-0.0349451984227971
CG5083,0,FBgn0038390,Day 1,85,0.8728082974381598
CG5083,0,FBgn0038390,Day 2 ,45,-0.8052383943562427
CG5083,0,FBgn0038390,Day 3,32,1.180486504411115
CG5083,0,FBgn0038390,Day 4 ,27,0.5619703503949844
CG5083,0,FBgn0038390,Day 5,28,3.0713399086320337
CG5083,0,FBgn0038390,Sum,217,0.9551687568897967
CG6099,0,FBgn0002629,Day 1,84,0.817567265954732
CG6099,0,FBgn0002629,Day 2 ,51,-0.21603956921752873
