,Screen,Gene
0,HpoOvariole,FBgn0000042
1,HpoOvariole,FBgn0000117
2,HpoOvariole,FBgn0000259
3,HpoOvariole,FBgn0000352
4,HpoOvariole,FBgn0001139
5,HpoOvariole,FBgn0001169
6,HpoOvariole,FBgn0001235
7,HpoOvariole,FBgn0001624
8,HpoOvariole,FBgn0001965
9,HpoOvariole,FBgn0002174
10,HpoOvariole,FBgn0002592
11,HpoOvariole,FBgn0002643
12,HpoOvariole,FBgn0003090
13,HpoOvariole,FBgn0003124
14,HpoOvariole,FBgn0003204
15,HpoOvariole,FBgn0003396
16,HpoOvariole,FBgn0003444
17,HpoOvariole,FBgn0003612
18,HpoOvariole,FBgn0003867
19,HpoOvariole,FBgn0003892
20,HpoOvariole,FBgn0003984
21,HpoOvariole,FBgn0004177
22,HpoOvariole,FBgn0004647
23,HpoOvariole,FBgn0004837
24,HpoOvariole,FBgn0004856
25,HpoOvariole,FBgn0004858
26,HpoOvariole,FBgn0010379
27,HpoOvariole,FBgn0010825
28,HpoOvariole,FBgn0010909
29,HpoOvariole,FBgn0011692
30,HpoOvariole,FBgn0014011
31,HpoOvariole,FBgn0014020
32,HpoOvariole,FBgn0015218
33,HpoOvariole,FBgn0015799
34,HpoOvariole,FBgn0020386
35,HpoOvariole,FBgn0020496
36,HpoOvariole,FBgn0021796
37,HpoOvariole,FBgn0021874
38,HpoOvariole,FBgn0022787
39,HpoOvariole,FBgn0023518
40,HpoOvariole,FBgn0024248
41,HpoOvariole,FBgn0025638
42,HpoOvariole,FBgn0025800
43,HpoOvariole,FBgn0026181
44,HpoOvariole,FBgn0026250
45,HpoOvariole,FBgn0026379
46,HpoOvariole,FBgn0029175
47,HpoOvariole,FBgn0029840
48,HpoOvariole,FBgn0030904
49,HpoOvariole,FBgn0033266
50,HpoOvariole,FBgn0034970
51,HpoOvariole,FBgn0036046
52,HpoOvariole,FBgn0036974
53,HpoOvariole,FBgn0037351
54,HpoOvariole,FBgn0038167
55,HpoOvariole,FBgn0039102
56,HpoOvariole,FBgn0040296
57,HpoOvariole,FBgn0044323
58,HpoOvariole,FBgn0045035
59,HpoOvariole,FBgn0086785
60,HpoOvariole,FBgn0259176
61,HpoOvariole,FBgn0261592
62,HpoOvariole,FBgn0261617
63,HpoOvariole,FBgn0261885
64,HpoOvariole,FBgn0262614
65,HpoOvariole,FBgn0264270
66,HpoOvariole,FBgn0264492
67,HpoEggL,FBgn0000042
68,HpoEggL,FBgn0000047
69,HpoEggL,FBgn0000117
70,HpoEggL,FBgn0000259
71,HpoEggL,FBgn0000352
72,HpoEggL,FBgn0001624
73,HpoEggL,FBgn0001965
74,HpoEggL,FBgn0002973
75,HpoEggL,FBgn0003090
76,HpoEggL,FBgn0003124
77,HpoEggL,FBgn0003430
78,HpoEggL,FBgn0003612
79,HpoEggL,FBgn0003892
80,HpoEggL,FBgn0004177
81,HpoEggL,FBgn0004647
82,HpoEggL,FBgn0004856
83,HpoEggL,FBgn0005355
84,HpoEggL,FBgn0010379
85,HpoEggL,FBgn0010504
86,HpoEggL,FBgn0010825
87,HpoEggL,FBgn0010909
88,HpoEggL,FBgn0011274
89,HpoEggL,FBgn0011642
90,HpoEggL,FBgn0014011
91,HpoEggL,FBgn0014020
92,HpoEggL,FBgn0015218
93,HpoEggL,FBgn0020496
94,HpoEggL,FBgn0021796
95,HpoEggL,FBgn0021874
96,HpoEggL,FBgn0023518
97,HpoEggL,FBgn0024291
98,HpoEggL,FBgn0025638
99,HpoEggL,FBgn0025800
