FbID,CG number,NAME,SYMBOL,HippoRNAi_EggL_Day_1_Egg_Count,HippoRNAi_EggL_Day_1_Egg_Zscore,HippoRNAi_EggL_Day_2_Egg_Count,HippoRNAi_EggL_Day_2_Egg_Zscore,HippoRNAi_EggL_Day_3_Egg_Count,HippoRNAi_EggL_Day_3_Egg_Zscore,HippoRNAi_EggL_Day_4_Egg_Count,HippoRNAi_EggL_Day_4_Egg_Zscore,HippoRNAi_EggL_Day_5_Egg_Count,HippoRNAi_EggL_Day_5_Egg_Zscore,HippoRNAi_EggL_All_Days_Egg_Sum_Count,HippoRNAi_EggL_All_Days_Egg_Sum_Zscore,EggL_Day_1_Egg_Count,EggL_Day_1_Egg_Zscore,EggL_Day_2_Egg_Count,EggL_Day_2_Egg_Zscore,EggL_Day_3_Egg_Count,EggL_Day_3_Egg_Zscore,EggL_Day_4_Egg_Count,EggL_Day_4_Egg_Zscore,EggL_Day_5_Egg_Count,EggL_Day_5_Egg_Zscore,EggL_All_Days_Egg_Sum_Count,EggL_All_Days_Egg_Sum_Zscore,HippoRNAi_Ova_OvarioleNb_Fly_1.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_1.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_2.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_2.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_3.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_3.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_4.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_4.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_5.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_5.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_6.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_6.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_7.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_7.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_8.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_8.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_9.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_9.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_10.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_10.2_Count,HippoRNAi_Ova_OvarioleNb_Mean_Count,HippoRNAi_Ova_OvarioleNb_Std_Count,HippoRNAi_Ova_OvarioleNb_Mean_Zscore,PIN_betweenness_centrality,PIN_closeness_centrality,PIN_eigenvector_centrality,PIN_degree_centrality,HippoRNAi_Ova_Module,HippoRNAi_EggL_Module,EggL_Module,Core_Module,Meta_Module,HpoOva_Connector,HpoEggL_Connector,EggL_Connector,Core_Connector,FGF_pathway,VEGF_pathway,Toll_pathway,JNK_pathway,EGF_pathway,mTOR_pathway,FOXO_pathway,SHH_pathway,Hippo_pathway,JAK/STAT_pathway,Wnt_pathway,Notch_pathway,TGF B_pathway,MAPK_pathway
FBgn0000042,CG4027,Actin 5C,Act5C,0.0,-4.3294,0.0,-3.7259,0.0,-2.7062,0.0,-2.0176,0.0,-0.9066,0.0,-6.7197,0.0,-3.1045,0.0,-4.3731,0.0,-2.5058,0.0,-2.4871,0.0,-3.7675,0.0,-4.8103,16.0,17.0,11.0,7.0,14.0,18.0,17.0,15.0,16.0,16.0,14.0,15.0,17.0,18.0,16.0,15.0,12.0,16.0,13.0,18.0,15.05,2.704285098641939,-3.5002,0.003476740053419787,0.3474376891599256,0.005123720462651446,0.008748001128774337,True,True,False,False,VII,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000043,CG12051,Actin 42A,Act42A,29.0,-0.7524,54.0,0.2401,81.0,1.2868,20.0,-0.4296,23.0,-0.0397,207.0,0.1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012260968382817744,0.3182128806706249,0.002404954460743365,0.00253974226319255,False,False,False,False,,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000044,CG10067,Actin 57B,Act57B,106.0,1.9464,55.0,-0.1002,28.0,0.3446,30.0,3.5155,31.0,1.0923,250.0,2.3447,149.0,1.4916,48.0,-1.1166,74.0,4.6396,28.0,0.6785,45.0,0.9652,344.0,2.5147,23.0,22.0,20.0,21.0,24.0,21.0,22.0,23.0,23.0,20.0,19.0,22.0,22.0,22.0,23.0,21.0,23.0,22.0,20.0,22.0,21.75,1.2926920095594878,0.6247,0.0010517618716256458,0.34449849522562914,0.004514714607465246,0.004515097356786756,False,False,False,False,,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000046,CG18290,Actin 87E,Act87E,110.0,7.4292,70.0,-2.0017,39.0,1.7757,36.0,-1.4634,38.0,0.5529,293.0,1.5207,152.0,2.9848,57.0,1.1776,53.0,14.7885,34.0,2.4802,26.0,-0.246,322.0,6.8044,19.0,24.0,22.0,22.0,21.0,20.0,21.0,19.0,22.0,21.0,23.0,22.0,24.0,22.0,22.0,21.0,20.0,20.0,22.0,23.0,21.5,1.4327007988227578,1.4892,0.0001455493637816161,0.31367969098940823,0.0023619504528137217,0.002163484150126987,False,False,True,False,I,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000047,CG5178,Actin 88F,Act88F,0.0,-4.7429,0.0,-3.5457,0.0,-2.5488,0.0,-2.8075,0.0,-1.7442,0.0,-9.6009,0.0,-3.1045,0.0,-4.3731,0.0,-2.5058,0.0,-2.4871,0.0,-3.7675,0.0,-4.8103,17.0,12.0,16.0,19.0,15.0,17.0,19.0,20.0,19.0,21.0,21.0,20.0,26.0,28.0,19.0,20.0,21.0,20.0,22.0,19.0,19.55,3.486439897358727,0.1514,0.00016530543703313733,0.3191661904565715,0.0017802566971110015,0.003386323017590067,False,True,False,False,III,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000097,CG3166,anterior open,aop,51.0,-2.0475,78.0,0.8094,4.0,-1.4657,13.0,-0.1251,46.0,0.9749,192.0,-0.3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12206734201598e-05,0.2925785994015884,0.00036471361397830463,0.0010347098109302981,False,False,False,False,,False,False,False,False,1,1,0,1,1,0,0,0,0,0,0,0,0,1
FBgn0000117,CG11579,armadillo,arm,0.0,-1.7265,0.0,-1.5121,0.0,-2.6317,0.0,-1.657,0.0,-2.3249,0.0,-6.7036,0.0,-2.6099,0.0,-1.3698,0.0,-1.7772,0.0,-2.6546,0.0,-2.5036,0.0,-7.6344,13.0,14.0,18.0,14.0,12.0,16.0,13.0,14.0,17.0,14.0,0.0,0.0,17.0,21.0,0.0,0.0,14.0,12.0,17.0,13.0,11.95,6.516981865217899,-4.715,0.006586910368210533,0.36570042404312825,0.006330596863407385,0.019471357351142884,True,True,True,True,IV,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000119,CG5912,arrow,arr,131.0,5.0546,74.0,6.9288,35.0,0.8426,18.0,-1.0187,28.0,1.5913,286.0,4.1593,136.0,1.2223,39.0,-1.6319,54.0,1.8902,18.0,0.0165,54.0,1.8339,301.0,1.4993,17.0,21.0,17.0,19.0,22.0,18.0,21.0,21.0,19.0,20.0,22.0,17.0,17.0,17.0,22.0,19.0,19.0,20.0,20.0,20.0,19.4,1.7888543819998315,-0.5987,1.8500937249283794e-05,0.3032450455659085,0.0006291906484745723,0.0007525162261311259,False,False,False,False,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000163,CG5055,bazooka,baz,113.0,3.1981,10.0,-1.0131,10.0,-1.1624,5.0,-0.8398,4.0,-2.4373,142.0,-1.6229,94.0,-0.427,14.0,-2.2767,26.0,-1.1543,3.0,-1.5852,2.0,-1.8927,139.0,-3.2398,22.0,20.0,21.0,18.0,20.0,23.0,22.0,20.0,22.0,24.0,22.0,21.0,21.0,24.0,20.0,19.0,20.0,22.0,22.0,24.0,21.35,1.663066286617648,0.9546,0.0003016337754418323,0.3263254828077059,0.0014668558762920686,0.003668516602389239,False,False,False,False,,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000179,CG3578,bifid,bi,95.0,0.3127,50.0,-0.1842,40.0,-0.3007,27.0,0.2522,25.0,0.1936,237.0,0.1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064220238939637e-05,0.3035854565030183,0.0014912782284060336,0.0006584516978647353,False,False,False,False,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0
