FbID,GeneName,Type,Z_ovariole,Z_HpoEggL,Z_EggL,Overlap,FGF,VEGF,Toll,JNK,EGF,mTOR,FOXO,SHH,Hippo,JAK/STAT,Wnt,Notch,TGF B,MAPK
FBgn0263289,scrib,Seed_Negative,1.4056126943650276,9.600922395445838,4.81029358819883,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0003090,pk,Seed_Negative,12.177746096876879,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0004647,N,Seed_Negative,8.095287924954139,6.7036285967852045,5.607802957026203,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0262614,pyd,Seed_Positive,2.810249099279279,3.907779939967588,0.6257127509945025,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0030530,jub,Seed_Negative,0.28632851181509855,6.406130286276985,6.274677633988119,011,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0010341,Cdc42,Seed_Negative,0.02602986471046382,4.633510500247284,5.607802957026203,001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0261617,nej,Seed_Negative,10.698274396000478,8.415321146690308,5.607802957026203,111,0,0,0,0,0,0,1,1,0,1,1,1,1,0
FBgn0025638,Roc1a,Seed_Negative,10.698274396000478,9.600922395445838,4.81029358819883,110,0,0,0,0,0,0,0,1,0,0,1,0,1,0
FBgn0039102,SPE,Seed_Negative,10.125617372370284,8.415321146690308,4.81029358819883,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0039044,p53,Connector_NS,0.09367496997597596,4.667417938195616,0.10612562594483038,001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0086785,Vps36,Seed_Negative,9.73516940171334,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0261885,osa,Seed_Negative,2.7591656593091276,5.234845851366078,2.2058403676235767,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0264270,Sxl,Seed_Negative,14.142135623730951,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0024291,Sirt1,Seed_Negative,1.060660171779821,6.632357535824207,7.232169330307508,011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0015838,Vang,Connector_NS,1.1291384214278863,1.4460839406633683,1.2982289663617923,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0014179,gcm,Connector_NS,0.3011173223031934,4.622004096469002,4.35604101152996,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003867,tsl,Seed_Positive,2.330892363565146,1.1444212681333652,2.3493742914699247,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FBgn0011274,Dif,Seed_Negative,0.7778174593052022,5.613338599240155,3.5959793493030183,010,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0015799,Rbf,Seed_Positive,5.79827560572969,3.138578324678884,1.0682517955395558,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0043903,dome,Connector_Negative,12.908279862250627,2.696254563150708,7.2512170540052505,010,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0003124,polo,Seed_Negative,14.129594226926377,7.85187048637467,14.416115138226738,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0033266,Socs44A,Seed_Positive,2.9010171750531866,1.8882319081323842,1.0397320482809045,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0003204,ras,Seed_Negative,3.1466251762801365,1.5663776796634876,1.4525945051198714,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0029840,raptor,Seed_Negative,10.535891039679559,6.719702016102843,2.3281309191647246,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0037351,RpL13A,Seed_Negative,15.383815024430138,4.633510500247284,5.364087957899406,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0011642,Zyx,Seed_Positive,0.4059248698958958,5.791300444559997,2.958251823212157,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0015218,eIF4E1,Seed_Negative,12.177746096876879,6.7036285967852045,4.81029358819883,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0000117,arm,Seed_Negative,4.714973488790789,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0003396,shn,Seed_Positive,2.14279823242099,0.9957270751764172,0.6348377713474871,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0027619,eIF3j,Connector_Uknw,0.0,0.0,0.0,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0005355,Su(fu),Seed_Positive,1.5982060308091541,6.745114047118753,4.629632404390528,010,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000352,cos,Seed_Negative,14.142135623730951,6.719702016102843,7.634412216406263,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0039234,Nct,Connector_NS,1.438671651004141,0.20412504196023556,0.4880976186280927,010,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0024248,chico,Seed_Negative,2.4041630560342613,2.1777890416139187,1.2005461435008975,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FBgn0000635,Fas2,Connector_NS,0.06691496051182153,0.7601980421824016,0.5986102869967175,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0033378,tsu,Seed_Negative,1.0606601717798212,5.316179091215694,1.131461960956098,010,0,0,0,0,1,0,0,0,0,0,0,0,0,0
